article,description,category_broad,category_specific,spotify_url,pageid,canonical,display,thumbnail_source,thumbnail_width,thumbnail_height,extract
Sandeep_Singh,Indian field hockey player,sports,hockey player,,26424795,Sandeep_Singh,Sandeep Singh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Sandeep_singh_hockey_player_2004.jpg/229px-Sandeep_singh_hockey_player_2004.jpg,229,320,Sandeep Singh is an Indian professional field hockey player from Haryana and an ex-captain of the Indian national team. He generally features as a full back and is a penalty corner specialist for the team. He was famous as Flicker Singh in media. Singh currently holds a DSP rank in the Haryana Police.
Saquon_Barkley,American football running back,sports,NFL player,,48537555,Saquon_Barkley,Saquon Barkley,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Saquon_Barkley_2018.jpg/261px-Saquon_Barkley_2018.jpg,261,320,"Saquon Barkley is an American football running back for the New York Giants of the National Football League (NFL). He played college football at Penn State for three seasons, running for 3,843 yards with 43 rushing touchdowns, while garnering 1,195 receiving yards with 8 touchdown receptions."
Sara_Foster,American actress,film/tv/theater,actor,,2551857,Sara_Foster,Sara Foster,,,,"Sara Michael Foster is an American actress, best known for her role as Jen Clark on 90210. She was a fashion model before moving to the film industry."
Shyla_Stylez,Canadian pornographic actress,film/tv/theater,actor,,48858051,Shyla_Stylez,Shyla Stylez,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Shyla_Stylez_2009.jpg/213px-Shyla_Stylez_2009.jpg,213,320,"Amanda Hardy, better known by her stage name Shyla Stylez, was a Canadian pornographic actress."
Smriti_Mandhana,Indian cricketer,sports,cricketer,,42419782,Smriti_Mandhana,Smriti Mandhana,,,,"Smriti Shriniwas Mandhana is an Indian cricketer who plays for the Indian women's national team. In June 2018, the Board of Control for Cricket in India (BCCI) named her as the Best Women's International Cricketer."
Sophie_Turner,English actress,film/tv/theater,actor,,33142873,Sophie_Turner,Sophie Turner,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Sophie_Turner_by_Gage_Skidmore_3.jpg/212px-Sophie_Turner_by_Gage_Skidmore_3.jpg,212,320,"Sophie Turner is an English actress. Turner made her professional acting debut as Sansa Stark on the HBO fantasy television series Game of Thrones (2011–present), which brought her international recognition."
Stacey_Abrams,House Minority Leader for the Georgia General Assembly,politics,politician,,36058979,Stacey_Abrams,Stacey Abrams,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Stacey_Abrams_2012.jpg/266px-Stacey_Abrams_2012.jpg,266,320,"Stacey Yvonne Abrams is an American politician, lawyer, and romance novelist who served as minority leader of the Georgia House of Representatives from 2011 to 2017. A member of the Democratic Party, she is her party's nominee in the 2018 Georgia gubernatorial election, she is the first black female major party gubernatorial nominee in the United States."
Steve_Bannon,American media executive and former White House Chief Strategist for Donald Trump,politics,politician,,41234808,Steve_Bannon,Steve Bannon,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Steve_Bannon_by_Gage_Skidmore.jpg/240px-Steve_Bannon_by_Gage_Skidmore.jpg,240,320,"Stephen Kevin Bannon is an American media executive, political figure, strategist, former investment banker, and the former executive chairman of Breitbart News. He served as White House Chief Strategist in the administration of U.S. President Donald Trump during the first seven months of Trump's term."
Steve_Smith_(cricketer),Australian international cricketer,sports,cricketer,,15155749,Steve_Smith_(cricketer),Steve Smith (cricketer),https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Steve_Smith_%28cricketer%29%2C_2014_%28cropped%29.jpg/226px-Steve_Smith_%28cricketer%29%2C_2014_%28cropped%29.jpg,226,320,"Steven Peter Devereux Smith is an Australian international cricketer and former captain of the Australian national team. On 30 December 2017, he reached a Test batting rating of 947, the second-highest of all time, only behind Don Bradman's 961. He was ranked top Test batsman in the world in 2015, 2016 and 2017, according to the ICC Player Rankings. At various times, Smith has been described as one of the best batsmen in the world. He played for New South Wales and Sydney Sixers in domestic cricket."
Steven_Nzonzi,French association football player,sports,soccer player,,23419533,Steven_Nzonzi,Steven Nzonzi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Steven_Nzonzi_2018.jpg/227px-Steven_Nzonzi_2018.jpg,227,320,Steven N'Kemboanza Mike Nzonzi is a French professional footballer who plays as a defensive midfielder for Italian club Roma and the French national team.
Suga_(rapper),"South Korean rapper, record producer, and songwriter",music,rapper,,49709342,Suga_(rapper),Suga (rapper),https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/180524_Suga_at_a_press_conference_for_Love_Yourself_Tear_%281%29.png/228px-180524_Suga_at_a_press_conference_for_Love_Yourself_Tear_%281%29.png,228,320,"Min Yoon-gi, better known by his stage names Suga and Agust D, is a South Korean rapper, songwriter, and record producer. Managed by Big Hit Entertainment, he debuted as a member of the South Korean pop idol group BTS in 2013. In 2016, he released his first solo mixtape, Agust D. The Korea Music Copyright Association attributes over 70 songs to Suga as a songwriter and producer, including Suran's ""Wine"", which won best Soul/R&B track of the year at the 2017 Melon Music Awards."
Takeoff_(rapper),"American rapper, member of the hip hop group Migos",music,rapper,https://p.scdn.co/mp3-preview/08016c1dad5b43ba62db359448a7f90ebbec71a6?cid=774b29d4f13844c495f206cafdad9c86,56420432,Takeoff_(rapper),Takeoff (rapper),https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Takeoff_Veld_festival_2017.jpg/222px-Takeoff_Veld_festival_2017.jpg,222,320,"Kirshnik Khari Ball, known professionally as Takeoff, is an American rapper. He is best known as a member of the hip hop and trap music group Migos along with family members Quavo and Offset."
Theodore_Edgar_McCarrick,"20th and 21st-century American Catholic archbishop, former cardinal",religion,archibishop,,1000781,Theodore_Edgar_McCarrick,Theodore Edgar McCarrick,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Theodore_Cardinal_McCarrick.jpg/320px-Theodore_Cardinal_McCarrick.jpg,320,251,"Theodore Edgar McCarrick is a retired American prelate of the Catholic Church, and a former Cardinal. He served as Archbishop of Washington from 2001 to 2006, and was elevated to the cardinalate in February 2001. Pope Francis accepted his resignation from the College of Cardinals on July 28, 2018, after a series of sexual misconduct allegations."
Timothy_Weah,American professional soccer player,sports,soccer player,,54457063,Timothy_Weah,Timothy Weah,,,,"Timothy Tarpeh Weah is an American professional soccer player who plays as a forward for Paris Saint-Germain in Ligue 1. He is the son of ex-footballer and President of Liberia George Weah and represents the United States in international competition. In March 2018, he made his senior debut for Paris Saint-Germain and earned his first senior international cap for the United States."
Tina_Smith,American politician,politics,politician,,44307500,Tina_Smith,Tina Smith,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Tina_Smith_official_photo.jpg/214px-Tina_Smith_official_photo.jpg,214,320,"Christine ""Tina"" Flint Smith is an American politician and former businesswoman serving as the junior United States Senator from Minnesota since 2018, filling the seat vacated by Al Franken. She is a member of the Minnesota Democratic–Farmer–Labor Party (DFL), an affiliate of the Democratic Party. Smith served as the 48th Lieutenant Governor of Minnesota from 2015 to 2018, when she was appointed to serve as a U.S. Senator for the state."
Trae_Young,American basketball player,sports,basketball player,,53620129,Trae_Young,Trae Young,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/20170329_MCDAAG_Trae_Young_dribbling.jpg/213px-20170329_MCDAAG_Trae_Young_dribbling.jpg,213,320,"Rayford Trae Young is an American professional basketball player for the Atlanta Hawks of the National Basketball Association (NBA). He played college basketball for the Oklahoma Sooners. On December 19, 2017, with 22 assists he tied the NCAA single-game record, shared by Syracuse's Sherman Douglas (1989), Southern's Avery Johnson (1988) and Charleston Southern's Tony Fairley (1987). By the end of his only college season, Young would be the first and only player to ever lead the NCAA in both points and assists in a single season. He was drafted by the Dallas Mavericks in the 2018 NBA Draft with the fifth pick, but was later traded to the Atlanta Hawks, along with a future first-round pick for the draft rights to Luka Dončić."
Trent_Alexander-Arnold,English footballer,sports,soccer player,,52095403,Trent_Alexander-Arnold,Trent Alexander-Arnold,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Trent_Alexander-Arnold_2018.jpg/246px-Trent_Alexander-Arnold_2018.jpg,246,320,Trent John Alexander-Arnold is an English professional footballer who plays as a right back for Premier League club Liverpool and the England national team.
Trippie_Redd,American rapper,music,rapper,,55213541,Trippie_Redd,Trippie Redd,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Trippie_Redd_2018_better_crop.png/233px-Trippie_Redd_2018_better_crop.png,233,320,"Michael Lamar White IV, known professionally as Trippie Redd, is an American rapper and singer. He is best known for his songs ""Love Scars"", ""Poles1469"" and ""Dark Knight Dummo"". The former two songs were both certified gold by the RIAA, and the latter peaked at number 72 on the Billboard Hot 100 as well as received platinum certification by the RIAA."
Tyreek_Hill,American football player,sports,soccer player,,36445204,Tyreek_Hill,Tyreek Hill,,,,"Tyreek Hill, is an American football player for the Kansas City Chiefs of the National Football League (NFL). He attended Garden City Community College, Oklahoma State University, and University of West Alabama. Hill is primarily a wide receiver, but also contributes as a return specialist and running back. Following his rookie year, he received the nickname Cheetah as reference to his speed."
V_(singer),South Korean singer and actor,music,singer,,41551487,V_(singer),V (singer),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/1117_V_%28BTS%29_Dispatch_Photo_Shoot_LA_%283%29_%28cropped%29.png/239px-1117_V_%28BTS%29_Dispatch_Photo_Shoot_LA_%283%29_%28cropped%29.png,239,320,"Kim Tae-hyung, better known by his stage name V, is a South Korean singer, songwriter and actor. He is a member of the South Korean boy group BTS."
Vijay_Deverakonda,Indian actor,film/tv/theater,actor,,46962543,Vijay_Deverakonda,Vijay Deverakonda,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Vijay_Deverakonda_at_NOTA_pressmeet.jpg/213px-Vijay_Deverakonda_at_NOTA_pressmeet.jpg,213,320,"Vijay Deverakonda is an Indian film actor known for his works in Telugu cinema. Vijay made his film debut in 2011 with Ravi Babu's romantic comedy Nuvvila (2011), but he gained recognition with his supporting role in the coming-of-age drama Yevade Subramanyam (2015)."
Willie_Taggart,"American college football coach, quarterback",sports,american football coach,,25179363,Willie_Taggart,Willie Taggart,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Coach_Taggart_FSU.jpg/285px-Coach_Taggart_FSU.jpg,285,320,"Willie Taggart is the head college football coach at Florida State University and a former college football player. He previously served as head coach at Western Kentucky from 2009 to 2012, South Florida from 2013 to 2016, and Oregon in 2017. He was the first black head football coach at Western Kentucky, South Florida and Oregon. He became the first permanent black head football coach at Florida State."
XXXTentacion,American rapper and singer-songwriter,music,rapper,https://p.scdn.co/mp3-preview/5b5a9c4dba2f360fd6cb10df457d2d97ad1ae1f6?cid=774b29d4f13844c495f206cafdad9c86,53039739,XXXTentacion,XXXTentacion,https://upload.wikimedia.org/wikipedia/commons/7/76/XXXTentacionFebruary2018_%28cropped%29_%282%29.png,232,276,"Jahseh Dwayne Ricardo Onfroy, known professionally as XXXTentacion, was an American rapper, singer, and songwriter."
Yashika_Aannand,,film/tv/theater,actor,,57414691,Yashika_Aannand,Yashika Aannand,,,,"Yashika Aannand is an Indian teenage film actress and model of Punjabi descent, who predominantly works in Tamil cinema. She made her breakthrough as an actress by portraying a character in the successful Dhuruvangal Pathinaaru (2016), before earning further recognition for her role in the adult comedy, Iruttu Araiyil Murattu Kuththu (2017). She is also recognised as a social media influencer and as a fashion model."
YoungBoy_Never_Broke_Again,American rapper from Louisiana,music,rapper,,54859596,YoungBoy_Never_Broke_Again,YoungBoy Never Broke Again,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/YOUNG-BOY-NEVER-BROKE-AGAIN-2017.png/246px-YOUNG-BOY-NEVER-BROKE-AGAIN-2017.png,246,320,"Kentrell DeSean Gaulden, known professionally as YoungBoy Never Broke Again, is an American rapper, singer and songwriter. He is best known for his song ""Outside Today"" which has peaked at number 31 on the Billboard Hot 100 chart."
